state,action,reward,next_state,reward_detail
360|487|81|403|18|253,205|188|6,0,360|487|81|403|18|253,[0 0 0]
225|404|296|451|89|134,494|256|37,0,225|404|296|451|89|134,[0 0 0]
480|291|311|93|298|429,90|414|383,3,93|298|429|90|414|383,[1 1 1]
496|289|411|221|27|77,176|362|401,1,289|411|221|27|77|176,[1 0 0]
328|143|481|108|483|200,374|445|310,2,481|108|483|200|445|310,[0 1 1]
340|19|403|52|329|22,217|456|489,1,19|403|52|329|22|456,[0 1 0]
21|477|120|439|428|162,451|185|259,1,477|120|439|428|162|259,[0 0 1]
312|270|239|11|388|328,228|11|71,3,11|388|328|228|11|71,[1 1 1]
46|132|220|312|40|451,91|311|450,5,132|220|312|40|451|450,[0 0 5]
89|13|63|383|187|310,20|481|4,0,89|13|63|383|187|310,[0 0 0]
249|447|330|392|2|3,238|26|228,3,392|2|3|238|26|228,[1 1 1]
106|194|400|312|32|93,188|131|86,15,312|32|93|188|131|86,[5 5 5]
151|358|158|298|437|190,434|421|348,5,358|158|298|437|190|421,[0 5 0]
206|445|111|354|161|187,135|430|162,6,111|354|161|187|135|162,[5 0 1]
339|76|334|301|391|448,127|234|26,0,339|76|334|301|391|448,[0 0 0]
204|363|71|78|317|88,453|455|230,0,204|363|71|78|317|88,[0 0 0]
194|168|445|339|327|46,208|374|72,2,445|339|327|46|208|374,[1 1 0]
280|171|367|49|290|89,364|405|407,5,171|367|49|290|89|405,[0 5 0]
179|134|75|333|462|128,385|200|316,3,333|462|128|385|200|316,[1 1 1]
101|236|460|105|465|270,421|300|437,0,101|236|460|105|465|270,[0 0 0]
396|1|405|136|129|251,55|92|182,1,1|405|136|129|251|55,[1 0 0]
75|378|116|78|318|396,489|151|66,2,116|78|318|396|489|151,[1 1 0]
292|348|95|217|499|102,217|403|299,3,217|499|102|217|403|299,[1 1 1]
94|38|148|430|344|82,460|308|42,6,148|430|344|82|460|308,[5 1 0]
290|316|252|404|402|418,204|110|455,10,252|404|402|418|204|110,[5 5 0]
420|486|396|179|292|437,26|86|397,2,396|179|292|437|26|397,[1 0 1]
472|243|182|442|405|212,341|49|46,0,472|243|182|442|405|212,[0 0 0]
48|217|156|392|71|32,265|262|45,5,217|156|392|71|32|262,[0 5 0]
146|250|26|377|12|389,319|138|406,6,26|377|12|389|319|138,[1 5 0]
235|185|45|267|249|101,125|405|395,10,45|267|249|101|125|405,[5 5 0]
411|14|497|372|17|312,402|282|292,5,14|497|372|17|312|292,[0 0 5]
378|287|78|215|251|311,469|271|348,2,78|215|251|311|271|348,[0 1 1]
42|36|93|222|182|392,161|36|321,5,36|93|222|182|392|161,[5 0 0]
407|83|144|284|462|464,324|258|436,0,407|83|144|284|462|464,[0 0 0]
237|294|81|493|434|403,51|302|123,5,294|81|493|434|403|51,[5 0 0]
414|494|211|466|65|369,341|437|270,6,211|466|65|369|437|270,[0 1 5]
195|64|117|496|28|129,256|43|211,7,496|28|129|256|43|211,[1 1 5]
417|281|498|60|200|82,44|22|154,2,498|60|200|82|44|154,[1 0 1]
446|498|234|56|355|435,297|249|347,1,498|234|56|355|435|297,[1 0 0]
268|359|210|46|196|48,460|287|92,6,210|46|196|48|287|92,[0 1 5]
206|370|422|68|98|30,492|372|97,6,422|68|98|30|492|97,[1 0 5]
189|81|491|343|150|289,350|486|192,1,81|491|343|150|289|192,[0 0 1]
450|240|191|328|123|180,446|53|346,5,240|191|328|123|180|346,[0 0 5]
278|301|293|165|200|245,295|368|340,1,301|293|165|200|245|340,[0 0 1]
316|26|324|497|427|214,496|49|368,2,324|497|427|214|496|49,[1 1 0]
387|165|495|419|193|139,16|61|222,1,165|495|419|193|139|61,[0 1 0]
289|297|162|380|136|431,355|63|51,1,297|162|380|136|431|63,[0 1 0]
184|432|181|35|45|302,69|229|325,7,35|45|302|69|229|325,[1 5 1]
293|473|84|213|264|438,442|216|325,5,473|84|213|264|438|442,[5 0 0]
228|243|145|83|452|402,67|399|289,3,83|452|402|67|399|289,[1 1 1]
34|1|334|290|75|259,55|52|400,3,290|75|259|55|52|400,[1 1 1]
88|80|397|371|216|207,296|199|225,7,371|216|207|296|199|225,[5 1 1]
224|23|302|482|172|209,385|204|155,1,23|302|482|172|209|385,[1 0 0]
201|494|426|260|410|362,425|118|186,6,426|260|410|362|425|186,[1 0 5]
482|184|394|156|293|246,499|284|167,1,184|394|156|293|246|167,[0 0 1]
140|42|50|433|111|187,120|221|438,0,140|42|50|433|111|187,[0 0 0]
56|455|271|131|138|43,337|421|223,6,271|131|138|43|337|421,[5 1 0]
445|332|74|280|495|31,72|343|429,5,332|74|280|495|31|343,[0 5 0]
294|317|478|397|59|443,197|50|228,10,478|397|59|443|197|50,[5 5 0]
393|442|282|127|103|301,368|179|498,6,282|127|103|301|368|179,[5 1 0]
216|347|426|284|74|352,422|167|402,6,426|284|74|352|167|402,[0 5 1]
136|470|341|372|338|308,380|399|416,10,341|372|338|308|399|416,[0 5 5]
51|367|308|284|483|267,207|81|322,2,308|284|483|267|81|322,[0 1 1]
450|429|485|401|176|289,124|397|258,1,429|485|401|176|289|397,[0 1 0]
94|148|333|471|111|46,383|380|277,1,148|333|471|111|46|380,[0 1 0]
269|130|474|246|294|225,147|420|126,7,246|294|225|147|420|126,[5 1 1]
378|134|368|242|45|390,120|129|47,6,368|242|45|390|120|47,[1 0 5]
74|188|256|22|92|374,35|420|191,0,74|188|256|22|92|374,[0 0 0]
486|364|45|268|294|208,414|349|115,2,45|268|294|208|414|115,[1 0 1]
199|474|448|371|461|282,67|484|259,6,448|371|461|282|484|259,[0 5 1]
431|330|275|254|433|7,479|158|458,1,330|275|254|433|7|458,[0 0 1]
496|290|376|474|126|46,89|371|86,5,290|376|474|126|46|89,[5 0 0]
290|461|188|71|14|252,459|90|164,2,188|71|14|252|459|164,[1 0 1]
126|280|399|183|233|366,59|419|105,1,280|399|183|233|366|419,[0 1 0]
496|258|287|172|13|409,150|303|32,11,172|13|409|150|303|32,[5 1 5]
480|422|148|280|174|8,69|54|106,2,148|280|174|8|69|54,[1 1 0]
316|336|485|4|267|236,116|442|343,6,485|4|267|236|116|343,[1 0 5]
326|132|127|143|232|231,410|498|38,0,326|132|127|143|232|231,[0 0 0]
482|292|182|29|401|217,139|290|181,2,182|29|401|217|139|181,[1 0 1]
58|6|64|159|142|411,305|160|293,1,6|64|159|142|411|293,[0 0 1]
439|380|173|107|176|491,380|0|98,0,439|380|173|107|176|491,[0 0 0]
415|458|302|338|25|385,42|79|492,11,338|25|385|42|79|492,[5 1 5]
53|55|118|267|249|75,455|11|452,11,267|249|75|455|11|452,[1 5 5]
4|66|433|217|171|172,280|60|3,2,433|217|171|172|280|3,[1 0 1]
123|429|418|190|311|458,253|359|490,0,123|429|418|190|311|458,[0 0 0]
442|166|338|155|314|220,141|84|434,11,155|314|220|141|84|434,[1 5 5]
331|117|292|385|335|458,447|58|270,2,292|385|335|458|58|270,[0 1 1]
109|176|203|322|286|313,338|422|403,1,176|203|322|286|313|422,[0 1 0]
120|484|9|142|9|466,180|396|66,0,120|484|9|142|9|466,[0 0 0]
22|122|141|112|468|195,319|128|318,6,141|112|468|195|128|318,[0 5 1]
184|242|316|495|107|239,108|88|419,6,316|495|107|239|88|419,[0 1 5]
212|178|452|377|130|149,353|384|316,3,377|130|149|353|384|316,[1 1 1]
389|69|417|32|177|81,497|320|411,2,417|32|177|81|320|411,[0 1 1]
319|197|383|160|379|426,431|291|341,0,319|197|383|160|379|426,[0 0 0]
85|40|200|219|425|392,453|30|359,3,219|425|392|453|30|359,[1 1 1]
245|46|310|173|3|170,201|242|368,6,310|173|3|170|242|368,[0 1 5]
382|345|185|459|188|277,420|46|216,2,185|459|188|277|46|216,[0 1 1]
182|409|383|365|317|193,284|226|221,10,383|365|317|193|226|221,[0 5 5]
415|108|482|250|87|359,240|414|194,1,108|482|250|87|359|240,[1 0 0]
363|392|68|478|122|213,85|402|113,1,392|68|478|122|213|402,[0 1 0]
457|300|179|249|391|117,498|241|196,2,179|249|391|117|498|241,[1 1 0]
212|446|443|69|108|167,68|389|482,2,443|69|108|167|68|482,[1 0 1]
118|91|335|386|207|477,116|26|66,1,91|335|386|207|477|66,[0 0 1]
186|428|106|492|156|496,420|32|446,6,106|492|156|496|32|446,[0 5 1]
96|230|81|130|489|69,211|245|116,2,81|130|489|69|211|116,[1 0 1]
434|153|83|385|386|377,420|417|107,5,153|83|385|386|377|417,[0 5 0]
102|89|477|33|180|339,276|84|483,0,102|89|477|33|180|339,[0 0 0]
4|279|213|51|93|373,466|100|440,2,213|51|93|373|466|440,[1 0 1]
192|497|100|141|460|90,435|308|139,6,100|141|460|90|308|139,[0 1 5]
257|332|60|215|304|319,75|498|340,2,60|215|304|319|75|340,[1 0 1]
304|216|254|207|55|130,298|386|40,11,207|55|130|298|386|40,[1 5 5]
359|209|330|142|130|242,20|20|298,2,330|142|130|242|20|298,[1 0 1]
332|266|173|120|418|24,429|469|264,5,266|173|120|418|24|469,[0 5 0]
436|335|152|109|420|94,290|463|142,1,335|152|109|420|94|290,[1 0 0]
21|420|473|6|199|424,392|148|474,1,420|473|6|199|424|392,[1 0 0]
407|33|336|229|216|481,6|497|240,6,336|229|216|481|497|240,[0 5 1]
420|233|12|240|26|131,172|122|150,2,12|240|26|131|172|150,[1 0 1]
134|114|458|99|414|188,40|445|411,3,99|414|188|40|445|411,[1 1 1]
205|94|293|367|103|157,162|313|379,1,94|293|367|103|157|162,[1 0 0]
376|487|6|163|73|99,41|10|55,11,163|73|99|41|10|55,[1 5 5]
88|477|263|353|478|407,9|360|179,2,263|353|478|407|9|179,[1 0 1]
432|77|34|304|165|191,265|170|236,6,34|304|165|191|265|236,[5 0 1]
49|481|356|408|416|270,358|260|372,1,481|356|408|416|270|260,[0 1 0]
158|408|25|159|414|247,323|263|21,0,158|408|25|159|414|247,[0 0 0]
252|208|486|156|299|480,5|124|238,1,208|486|156|299|480|124,[0 1 0]
417|295|398|373|138|16,251|248|267,0,417|295|398|373|138|16,[0 0 0]
54|366|79|240|367|336,242|337|345,3,240|367|336|242|337|345,[1 1 1]
2|163|420|212|0|247,291|167|317,1,163|420|212|0|247|167,[0 1 0]
193|1|1|50|329|62,417|299|264,0,193|1|1|50|329|62,[0 0 0]
392|469|346|61|184|345,24|67|212,7,61|184|345|24|67|212,[5 1 1]
443|212|268|259|132|428,41|15|12,7,259|132|428|41|15|12,[5 1 1]
26|177|207|187|474|80,473|45|275,1,177|207|187|474|80|473,[1 0 0]
258|149|30|184|250|327,244|83|82,1,149|30|184|250|327|83,[0 1 0]
131|206|321|14|193|343,159|325|490,6,321|14|193|343|159|325,[1 5 0]
354|289|406|358|118|104,274|485|211,6,406|358|118|104|274|211,[1 0 5]
174|475|125|152|15|116,168|372|167,6,125|152|15|116|168|167,[1 0 5]
259|23|88|32|145|221,170|366|112,2,88|32|145|221|366|112,[0 1 1]
243|148|346|118|150|463,144|240|275,6,346|118|150|463|144|240,[5 1 0]
28|487|332|146|471|421,251|81|29,6,332|146|471|421|81|29,[0 5 1]
334|26|121|239|184|162,27|208|280,0,334|26|121|239|184|162,[0 0 0]
262|293|172|38|483|286,370|310|283,0,262|293|172|38|483|286,[0 0 0]
278|242|23|199|226|22,193|93|128,0,278|242|23|199|226|22,[0 0 0]
403|408|287|26|98|474,254|347|253,7,26|98|474|254|347|253,[1 5 1]
334|279|212|448|60|494,366|338|360,2,212|448|60|494|366|338,[1 1 0]
383|299|54|463|367|323,175|343|131,2,54|463|367|323|343|131,[0 1 1]
458|416|485|390|203|463,222|416|285,0,458|416|485|390|203|463,[0 0 0]
330|197|436|72|117|79,255|255|163,6,436|72|117|79|255|163,[0 1 5]
54|288|160|105|14|370,21|250|60,5,288|160|105|14|370|250,[0 5 0]
23|205|270|323|256|117,271|429|373,2,270|323|256|117|271|373,[1 0 1]
24|287|458|53|382|7,200|289|413,10,458|53|382|7|200|289,[5 5 0]
101|216|486|179|11|489,323|105|304,1,216|486|179|11|489|105,[0 1 0]
334|237|443|213|477|183,11|220|171,6,443|213|477|183|11|220,[5 1 0]
65|259|129|92|50|126,277|29|450,6,129|92|50|126|277|450,[5 0 1]
365|104|310|373|289|18,58|335|145,7,373|289|18|58|335|145,[5 1 1]
421|330|407|133|166|387,312|293|306,7,133|166|387|312|293|306,[1 1 5]
174|264|425|345|477|215,165|482|190,6,425|345|477|215|482|190,[0 1 5]
29|6|110|178|46|201,159|165|326,5,6|110|178|46|201|326,[0 0 5]
252|240|299|69|17|56,319|249|114,0,252|240|299|69|17|56,[0 0 0]
232|39|168|284|463|408,250|185|493,15,284|463|408|250|185|493,[5 5 5]
428|410|289|11|54|446,445|142|5,2,289|11|54|446|445|5,[1 0 1]
332|78|44|296|247|23,353|153|340,1,78|44|296|247|23|340,[0 0 1]
8|218|374|278|291|316,133|84|156,3,278|291|316|133|84|156,[1 1 1]
72|141|3|392|115|203,496|487|450,1,141|3|392|115|203|496,[1 0 0]
114|279|176|266|221|55,263|151|17,2,176|266|221|55|263|151,[1 1 0]
390|403|41|259|450|413,430|116|192,1,403|41|259|450|413|116,[0 1 0]
343|135|431|24|389|184,431|355|422,2,431|24|389|184|431|422,[1 0 1]
239|443|267|424|349|447,43|205|218,1,443|267|424|349|447|43,[1 0 0]
83|145|149|355|239|415,322|459|69,11,355|239|415|322|459|69,[5 5 1]
231|321|234|159|268|476,183|421|141,10,234|159|268|476|183|421,[5 5 0]
107|234|484|203|37|412,277|13|490,0,107|234|484|203|37|412,[0 0 0]
65|431|474|264|77|317,293|354|10,0,65|431|474|264|77|317,[0 0 0]
49|472|496|274|165|155,357|464|459,2,496|274|165|155|464|459,[0 1 1]
351|441|467|386|462|395,413|409|358,6,467|386|462|395|413|358,[1 0 5]
330|395|425|405|129|475,139|293|127,0,330|395|425|405|129|475,[0 0 0]
120|427|89|81|86|349,5|297|156,0,120|427|89|81|86|349,[0 0 0]
493|392|51|302|116|40,209|238|67,6,51|302|116|40|209|238,[5 1 0]
145|417|265|406|285|293,364|163|93,5,417|265|406|285|293|364,[5 0 0]
41|226|386|277|206|154,106|477|380,2,386|277|206|154|477|380,[0 1 1]
20|373|52|14|273|15,261|102|282,2,52|14|273|15|261|282,[1 0 1]
331|217|440|317|319|250,132|326|227,0,331|217|440|317|319|250,[0 0 0]
379|141|105|235|387|448,225|148|234,1,141|105|235|387|448|234,[0 0 1]
262|155|23|21|79|199,235|472|311,1,155|23|21|79|199|472,[0 1 0]
313|417|387|238|89|23,237|84|346,2,387|238|89|23|237|84,[1 1 0]
55|224|193|41|233|383,313|345|238,11,41|233|383|313|345|238,[5 1 5]
399|334|351|181|200|297,415|324|111,6,351|181|200|297|415|111,[1 0 5]
14|470|390|384|498|218,235|396|479,5,470|390|384|498|218|235,[5 0 0]
99|122|85|95|367|81,392|115|119,6,85|95|367|81|392|119,[1 0 5]
147|354|393|392|465|244,17|425|181,1,354|393|392|465|244|425,[0 1 0]
459|413|172|149|391|313,223|173|257,6,172|149|391|313|173|257,[0 1 5]
217|244|67|349|368|372,283|341|106,10,67|349|368|372|283|341,[5 5 0]
213|211|306|140|409|108,470|440|415,3,140|409|108|470|440|415,[1 1 1]
58|451|47|5|110|344,10|42|448,6,47|5|110|344|42|448,[0 5 1]
319|115|163|229|301|375,145|402|89,2,163|229|301|375|145|89,[1 0 1]
382|171|317|350|98|175,120|366|182,5,171|317|350|98|175|366,[0 5 0]
286|322|110|454|249|211,253|355|222,6,110|454|249|211|253|222,[1 0 5]
325|465|407|335|77|435,211|108|253,6,407|335|77|435|211|108,[1 5 0]
92|193|149|101|124|394,330|448|479,0,92|193|149|101|124|394,[0 0 0]
374|105|46|333|127|33,71|301|207,6,46|333|127|33|301|207,[0 5 1]
36|65|164|125|50|73,296|183|99,0,36|65|164|125|50|73,[0 0 0]
467|171|149|6|252|195,247|168|299,0,467|171|149|6|252|195,[0 0 0]
327|156|32|301|461|0,237|270|264,1,156|32|301|461|0|264,[0 0 1]
350|129|117|254|181|21,451|179|409,7,254|181|21|451|179|409,[1 1 5]
466|250|232|428|50|333,112|363|87,0,466|250|232|428|50|333,[0 0 0]
216|55|96|130|240|149,41|450|463,0,216|55|96|130|240|149,[0 0 0]
193|431|355|53|294|387,28|33|272,2,355|53|294|387|33|272,[0 1 1]
395|409|369|63|267|191,438|280|242,1,409|369|63|267|191|280,[0 1 0]
417|330|418|74|49|347,291|212|179,1,330|418|74|49|347|212,[0 1 0]
448|373|427|479|335|151,382|377|309,6,427|479|335|151|382|309,[1 0 5]
96|261|459|269|45|189,129|113|46,2,459|269|45|189|113|46,[0 1 1]
68|193|462|88|389|185,294|263|38,15,88|389|185|294|263|38,[5 5 5]
273|147|69|126|376|138,281|56|318,5,147|69|126|376|138|56,[0 5 0]
34|350|43|167|459|144,398|3|217,6,43|167|459|144|398|3,[1 5 0]
43|461|359|220|296|21,315|102|102,5,461|359|220|296|21|315,[5 0 0]
148|295|496|36|357|351,444|306|274,2,496|36|357|351|306|274,[0 1 1]
497|22|492|403|163|444,297|102|198,6,492|403|163|444|297|102,[5 1 0]
425|20|207|60|116|264,115|43|219,0,425|20|207|60|116|264,[0 0 0]
343|260|266|486|322|138,294|254|439,6,266|486|322|138|254|439,[0 1 5]
363|73|19|106|389|35,119|370|299,1,73|19|106|389|35|299,[0 0 1]
143|364|316|122|328|427,261|62|269,1,364|316|122|328|427|261,[1 0 0]
24|269|178|128|320|192,332|329|233,0,24|269|178|128|320|192,[0 0 0]
118|453|207|187|359|41,181|133|441,1,453|207|187|359|41|441,[0 0 1]
184|64|95|133|127|355,104|249|259,2,95|133|127|355|104|259,[1 0 1]
483|128|373|227|426|340,183|308|149,1,128|373|227|426|340|183,[1 0 0]
433|344|53|411|160|223,440|494|259,6,53|411|160|223|494|259,[0 1 5]
196|308|499|4|84|81,271|175|103,3,4|84|81|271|175|103,[1 1 1]
170|461|304|395|69|153,69|161|323,5,461|304|395|69|153|323,[0 0 5]
21|286|401|103|329|13,142|323|366,6,401|103|329|13|142|366,[1 0 5]
326|443|151|43|413|387,174|408|433,5,443|151|43|413|387|408,[0 5 0]
460|35|155|328|116|264,264|451|11,1,35|155|328|116|264|264,[1 0 0]
228|483|56|111|222|272,488|75|136,7,111|222|272|488|75|136,[1 1 5]
161|42|102|389|492|148,386|348|490,6,102|389|492|148|386|490,[1 0 5]
414|411|306|438|219|42,370|381|106,5,411|306|438|219|42|106,[0 0 5]
96|187|370|223|339|357,385|17|101,1,187|370|223|339|357|101,[0 0 1]
332|195|307|164|22|110,164|104|302,7,164|22|110|164|104|302,[1 1 5]
463|188|186|328|344|136,337|57|255,0,463|188|186|328|344|136,[0 0 0]
443|118|403|65|288|477,437|238|224,1,118|403|65|288|477|437,[1 0 0]
323|128|8|316|311|482,74|455|149,1,128|8|316|311|482|455,[0 1 0]
467|51|313|39|466|107,368|441|47,1,51|313|39|466|107|441,[0 1 0]
178|142|105|94|315|461,151|177|367,1,142|105|94|315|461|177,[0 1 0]
85|213|40|482|306|73,218|223|3,11,482|306|73|218|223|3,[1 5 5]
182|176|9|83|422|163,240|49|308,1,176|9|83|422|163|308,[0 0 1]
63|22|1|466|159|219,431|486|116,0,63|22|1|466|159|219,[0 0 0]
99|194|443|178|450|431,399|146|381,7,178|450|431|399|146|381,[5 1 1]
366|418|243|181|324|125,71|63|153,10,243|181|324|125|71|63,[5 5 0]
424|284|191|490|423|262,192|473|62,5,284|191|490|423|262|192,[5 0 0]
372|11|352|372|237|464,95|462|178,5,11|352|372|237|464|95,[5 0 0]
146|295|1|381|382|316,342|374|373,7,381|382|316|342|374|373,[1 1 5]
143|178|394|61|79|496,410|206|203,5,178|394|61|79|496|203,[0 0 5]
190|354|0|342|5|156,447|118|145,15,342|5|156|447|118|145,[5 5 5]
30|270|339|358|437|61,365|442|287,6,339|358|437|61|365|287,[5 0 1]
304|148|71|345|38|345,99|15|436,0,304|148|71|345|38|345,[0 0 0]
132|449|57|217|291|90,298|125|440,1,449|57|217|291|90|440,[0 0 1]
183|497|428|491|397|188,487|365|480,1,497|428|491|397|188|365,[0 1 0]
268|497|150|13|359|181,190|371|239,0,268|497|150|13|359|181,[0 0 0]
451|335|277|236|218|346,249|33|364,0,451|335|277|236|218|346,[0 0 0]
259|111|323|416|496|392,404|456|73,5,111|323|416|496|392|456,[0 5 0]
381|448|411|242|466|429,79|47|35,7,242|466|429|79|47|35,[1 1 5]
271|122|382|143|491|128,118|333|115,6,382|143|491|128|333|115,[0 5 1]
127|323|401|420|74|281,188|377|249,1,323|401|420|74|281|249,[0 0 1]
450|63|3|437|159|343,56|398|281,0,450|63|3|437|159|343,[0 0 0]
87|27|469|256|78|457,81|196|400,5,27|469|256|78|457|81,[5 0 0]
192|402|424|185|90|282,465|274|111,5,402|424|185|90|282|111,[0 0 5]
173|258|394|255|5|394,281|16|243,6,394|255|5|394|281|243,[5 0 1]
11|131|80|360|104|318,345|413|288,6,80|360|104|318|345|288,[1 0 5]
279|415|362|420|223|394,209|257|238,6,362|420|223|394|209|238,[5 0 1]
87|201|460|224|423|23,364|373|386,2,460|224|423|23|364|386,[1 0 1]
186|218|285|253|298|19,233|192|457,1,218|285|253|298|19|233,[1 0 0]
399|272|324|28|91|229,372|405|370,1,272|324|28|91|229|370,[0 0 1]
55|237|126|449|369|21,123|437|37,1,237|126|449|369|21|37,[0 0 1]
141|121|142|478|430|188,21|480|466,6,142|478|430|188|21|480,[5 1 0]
265|50|415|87|299|399,114|372|144,0,265|50|415|87|299|399,[0 0 0]
346|188|135|345|319|104,90|344|472,7,345|319|104|90|344|472,[1 1 5]
204|10|391|414|385|363,455|291|415,1,10|391|414|385|363|455,[1 0 0]
109|164|255|410|111|344,13|228|263,7,410|111|344|13|228|263,[1 5 1]
383|403|20|368|226|24,101|220|398,5,403|20|368|226|24|398,[0 0 5]
84|182|293|316|341|277,439|235|428,10,293|316|341|277|439|235,[5 5 0]
270|110|118|372|239|227,149|167|384,7,372|239|227|149|167|384,[5 1 1]
184|133|181|176|367|110,248|145|80,2,181|176|367|110|248|80,[1 0 1]
341|335|357|335|119|127,425|369|406,2,357|335|119|127|425|369,[1 1 0]
57|355|252|322|468|493,373|130|413,7,322|468|493|373|130|413,[5 1 1]
309|147|175|438|149|300,3|320|318,2,175|438|149|300|3|320,[1 1 0]
45|383|39|248|136|466,328|30|309,2,39|248|136|466|328|30,[1 1 0]
128|187|94|489|259|40,127|168|325,1,187|94|489|259|40|168,[0 1 0]
361|96|405|156|127|64,58|380|236,7,156|127|64|58|380|236,[1 1 5]
83|117|397|170|386|52,473|357|436,5,117|397|170|386|52|473,[5 0 0]
435|407|10|44|493|204,212|86|184,1,407|10|44|493|204|212,[1 0 0]
165|385|100|162|489|26,477|146|56,0,165|385|100|162|489|26,[0 0 0]
426|335|113|137|20|129,458|27|131,2,113|137|20|129|27|131,[0 1 1]
277|97|122|375|195|171,271|467|334,5,97|122|375|195|171|334,[0 0 5]
170|377|456|132|8|243,308|41|297,10,456|132|8|243|308|297,[5 0 5]
327|164|95|32|168|372,108|381|177,11,32|168|372|108|381|177,[5 1 5]
24|60|284|149|51|139,348|270|148,6,284|149|51|139|348|270,[5 1 0]
118|47|408|142|457|137,407|52|218,6,408|142|457|137|52|218,[0 1 5]
433|265|205|296|100|175,196|111|351,1,265|205|296|100|175|111,[0 1 0]
329|281|215|452|71|27,433|185|147,6,215|452|71|27|185|147,[0 1 5]
250|163|476|16|317|473,322|255|211,0,250|163|476|16|317|473,[0 0 0]
281|295|78|416|196|330,480|59|302,6,78|416|196|330|59|302,[0 5 1]
109|153|320|277|193|111,249|376|296,1,153|320|277|193|111|376,[0 1 0]
70|393|359|491|77|145,242|138|152,2,359|491|77|145|138|152,[0 1 1]
397|423|497|360|197|409,331|414|269,1,423|497|360|197|409|414,[0 1 0]
469|13|71|41|197|262,197|110|325,1,13|71|41|197|262|197,[1 0 0]
162|355|286|356|467|457,299|320|303,1,355|286|356|467|457|299,[1 0 0]
358|364|346|367|93|11,490|163|430,2,346|367|93|11|490|163,[1 1 0]
4|105|316|418|382|244,204|399|345,0,4|105|316|418|382|244,[0 0 0]
146|418|152|87|467|284,488|202|493,2,152|87|467|284|488|493,[1 0 1]
340|357|458|437|94|76,441|25|187,2,458|437|94|76|25|187,[0 1 1]
377|273|19|168|401|200,367|291|107,5,273|19|168|401|200|291,[0 5 0]
349|497|413|482|482|380,166|419|232,5,497|413|482|482|380|232,[0 0 5]
302|125|177|194|96|193,445|294|426,2,177|194|96|193|445|426,[1 0 1]
454|110|406|437|244|462,486|247|459,2,406|437|244|462|486|459,[1 0 1]
